SİPARİŞ NUMARASI,TEDARİKÇİ,TEDARİKÇİ KODU,AÇIKLAMA,MİKTAR,RENK,SİPARİŞ TARİHİ,TESLİM ALMA TARİHİ,DURUMU,Montaj Plan,Tamamlayıcı Plan
TOPLU SİPARİŞ,ALKO,EL07-LSD,14 Ledli Yuvarlak Gomme 12V Spot Mat Nikel 220cm Kablolu Trafo Haric,20.0,,28.10.2025,,,,
144519,ALKO,EL00,1.5 METRE 3X1.5 TTR KABLO. UCUNDA KLEMENS 2 NUMARA 3 Lu,1.0,,10.11.2025,,,8-12 Aralık 2025,
TOPLU SİPARİŞ,ALKO,EL05-LT2-EL25,2 Amper 24 Watt Trafo Sol 5 Li Dagitici Acma Kapama Anahtari 220 cm Kablolu,50.0,,10.11.2025,,,,
144391,BLUM,09739914_295H5700,"""Tabla tipi çekmece sabitlemesi çekmece yanağı",1.0,,05.11.2025,,,22-26 Aralık 2025,
144391,BLUM,6371115_ZST.1089W,"TIP-ON senkronizasyon mili, Uzunluk = 1089 mm, MOVENTO / LEGRABOX / Tabla tipi çekmece sabitlemesi, kısaltılabilir",1.0,,05.11.2025,,,22-26 Aralık 2025,
144391,BLUM,02101757_T60.1125W,""" TIP-ON BLUMOTION senkronizasyon mili,",1.0,,05.11.2025,,,22-26 Aralık 2025,
144391,BLUM,02368890_T60L7340,"""Set (TIP-ON BLUMOTION ünitesi + Klapa bağlantısı",1.0,,05.11.2025,,,22-26 Aralık 2025,
144391,BLUM,05083446_760H5000S,"""MOVENTO ile BLUMOTION S, Tam çekiş, Ray, 40",1.0,,05.11.2025,,,22-26 Aralık 2025,
144391,BLUM,06616738_T51.7601 R,,1.0,,05.11.2025,,,22-26 Aralık 2025,
144391,BLUM,06449983_T51.7601 L,,1.0,,05.11.2025,,,22-26 Aralık 2025,
TOPLU SİPARİŞ,BLUM,7924571_20K2E01.02,AVENTOS HK-S SERT YAYLI GUC UNITESI LF 961-2215,336.0,,05.11.2025,,,,
TOPLU SİPARİŞ,BLUM,1064729_20K2C01.02,AVENTOS HK-S YUMUSAK YAYLI GUC UNITESI LF 401-960,392.0,,05.11.2025,,,,
TOPLU SİPARİŞ,BLUM,5361125_177H3100,CLIP DUZ TIP EKZNTRK CELIK TBN - DUBELLI,774.0,,05.11.2025,,,,
TOPLU SİPARİŞ,BLUM,3654010_20K8A21_R_HGR,AVENTOS HK-S GUC UNITESI KAPAGI SAG GRI,364.0,,05.11.2025,,,,
TOPLU SİPARİŞ,BLUM,1868381_20K8A21_L_HGR,AVENTOS HK-S GUC UNITESI KAPAGI SOL GRI,364.0,,05.11.2025,,,,
TOPLU SİPARİŞ,BLUM,6990853,"""AVENTOS HK-S TIP-ON """"C"""" güç ünitesi seti (kapak dahil) Gri""",23.0,,05.11.2025,,,,
TOPLU SİPARİŞ,BLUM,8560166_22K2701,AVENTOS HK TOP GUC UNITESI LF 1801-3500,20.0,,06.11.2025,,,,
143937,BLUM,7360602_20F3801.01,AVENTOS HF TELESKOPIK KOL H=700- 900,6.0,,07.11.2025,,,24-28 Kasım 2025,
143937,BLUM,6560199_20F8021 ABD L V20 HGR,AVENTOS HF yeni guc unitesi kapagı Sol Gri,3.0,,08.11.2025,,,24-28 Kasım 2025,
144522,BLUM,02101757_T60.1125W,""" TIP-ON BLUMOTION senkronizasyon mili.",1.0,,10.11.2025,,,24-28 Kasım 2025,
144522,BLUM,02368890_T60L7340,"""Set (TIP-ON BLUMOTION ünitesi + Klapa bağlantısı",1.0,,10.11.2025,,,24-28 Kasım 2025,
144522,BLUM,05083446_760H5000S,"""MOVENTO ile BLUMOTION S. Tam çekiş. Ray. 40",1.0,,10.11.2025,,,24-28 Kasım 2025,
144522,BLUM,09739914_295H5700,"""Tabla tipi çekmece sabitlemesi çekmece yanağı",1.0,,10.11.2025,,,24-28 Kasım 2025,
144522,BLUM,6371115_ZST.1089W,TIP-ON senkronizasyon mili. Uzunluk = 1089 mm. MOVENTO / LEGRABOX / Tabla tipi çekmece sabitlemesi. kısaltılabilir,1.0,,10.11.2025,,,24-28 Kasım 2025,
144522,BLUM,06616738_T51.7601 R,,1.0,,10.11.2025,,,24-28 Kasım 2025,
144522,BLUM,06449983_T51.7601 L,,1.0,,10.11.2025,,,24-28 Kasım 2025,
143580,CAM,MHCAMRAF405487_IM,4 Knr Duz Rodajli Temp Cam Raf 6X405X487 [AKSESUAR],4.0,,17.10.2025,,,10-14 Kasım 2025,
144061,CAM,MHCAMRAF405277_MP,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],4.0,,22.10.2025,,,10-14 Kasım 2025,
144019,CAM,MHCAMRAF855277,4 Knr Duz Rodajli Temp Cam Raf 6X855X277 [AKSESUAR],1.0,,23.10.2025,,,10-14 Kasım 2025,
143310,CAM,MHCAMRAF555257,,4.0,,23.10.2025,,,10-14 Kasım 2025,
144051,CAM,MHCAMRAF405487,4 Knr Duz Rodajli Temp Cam Raf 6X405X487 [AKSESUAR],4.0,,28.10.2025,,,17-21 Kasım 2025,
144076,CAM,MHCAMRAF555277,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],2.0,,28.10.2025,,,17-21 Kasım 2025,
144078,CAM,MHCAMRAF555487,4 Knr Duz Rodajli Temp Cam Raf 6X555X487 [AKSESUAR],12.0,,28.10.2025,,,10-14 Kasım 2025,
TOPLU SİPARİŞ,CAM,MHCAMRAF855277,4 Knr Duz Rodajli Temp Cam Raf 6X855X277 [AKSESUAR],30.0,,28.10.2025,,,,
144269,CAM,MKAPAKCAMI_DC_Duz Cam_494x594x4,,1.0,,31.10.2025,,,,10-14 Kasım 2025
143856,CAM,MKAPAKCAMI_DC_Duz Cam_494x594x4,,3.0,,31.10.2025,,,15-19 Aralık 2025,
143856,CAM,MKAPAKCAMI_DC_Duz Cam_494x1191x4,,3.0,,31.10.2025,,,15-19 Aralık 2025,
143856,CAM,MHCAMRAF555487_IM,4 Knr Duz Rodajli Temp Cam Raf 6X555X487 [AKSESUAR],12.0,,31.10.2025,,,15-19 Aralık 2025,
143918,CAM,MHCAMRAF855277,4 Knr Duz Rodajli Temp Cam Raf 6X855X277 [AKSESUAR],6.0,,05.11.2025,,,24-28 Kasım 2025,
144458,CAM,MHCAMRAF405277,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],2.0,,05.11.2025,,,24-28 Kasım 2025,
144458,CAM,MKAPAKCAMI_DC_Duz Cam_344x902x4,,1.0,,05.11.2025,,,24-28 Kasım 2025,
TOPLU SİPARİŞ,CAM,MHCAMRAF555487,4 Knr Duz Rodajli Temp Cam Raf 6X555X487 [AKSESUAR],96.0,,05.11.2025,,,,
TOPLU SİPARİŞ,CAM,MHCAMRAF505487,4 Knr Duz Rodajli Temp Cam Raf 6X505X487 [AKSESUAR],312.0,,05.11.2025,,,,
TOPLU SİPARİŞ,CAM,MHCAMRAF855277,4 Knr Duz Rodajli Temp Cam Raf 6X855X277 [AKSESUAR],69.0,,05.11.2025,,,,
TOPLU SİPARİŞ,CAM,MHCAMRAF405487,,112.0,,05.11.2025,,,,
144059,CAM,MHCAMRAF555277,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],8.0,,10.11.2025,,,8-12 Aralık 2025,
144059,CAM,MHCAMRAF855277,4 Knr Duz Rodajli Temp Cam Raf 6X855X277 [AKSESUAR],2.0,,10.11.2025,,,8-12 Aralık 2025,
144059,CAM,MHCAMRAF405277,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],2.0,,10.11.2025,,,8-12 Aralık 2025,
144059,CAM,MHCAMRAF255235,4 Knr Duz Rodajli Temp Cam Raf 6X255X235,5.0,,10.11.2025,,,8-12 Aralık 2025,
144512,CAM,MHCAMRAF405277,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],4.0,,10.11.2025,,,15-19 Aralık 2025,
144512,CAM,MHCAMRAF855277,4 Knr Duz Rodajli Temp Cam Raf 6X855X277 [AKSESUAR],2.0,,10.11.2025,,,15-19 Aralık 2025,
144513,CAM,MHCAMRAF405277,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],9.0,,10.11.2025,,,22-26 Aralık 2025,
144285,CAM,MHCAMRAF555277,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],4.0,,10.11.2025,,,24-28 Kasım 2025,
144288,CAM,MHCAMRAF555277,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],2.0,,10.11.2025,,,24-28 Kasım 2025,
144519,CAM,MHCAMRAF555277,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],10.0,,10.11.2025,,,8-12 Aralık 2025,
144520,CAM,MHCAMRAF255235,4 Knr Duz Rodajli Temp Cam Raf 6X255X235,5.0,,10.11.2025,,,22-26 Aralık 2025,
144521,CAM,MHCAMRAF405277,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],8.0,,10.11.2025,,,22-26 Aralık 2025,
144521,CAM,MHCAMRAF855277,4 Knr Duz Rodajli Temp Cam Raf 6X855X277 [AKSESUAR],4.0,,10.11.2025,,,22-26 Aralık 2025,
144524,CAM,MHCAMRAF555277,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],6.0,,10.11.2025,,,24-28 Kasım 2025,
144525,CAM,MHCAMRAF555277,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],12.0,,10.11.2025,,,15-19 Aralık 2025,
144512,CAM,MKAPAKCAMI_DC_Duz Cam_344x902x4,,2.0,,10.11.2025,,,15-19 Aralık 2025,
144512,CAM,MKAPAKCAMI_DC_Duz Cam_344x594x4,,2.0,,10.11.2025,,,15-19 Aralık 2025,
144513,CAM,MKAPAKCAMI_DC_Duz Cam_344x1147x4,,3.0,,10.11.2025,,,22-26 Aralık 2025,
144521,CAM,MKAPAKCAMI_DC_Duz Cam_344x594x4,,2.0,,10.11.2025,,,22-26 Aralık 2025,
144521,CAM,MKAPAKCAMI_DC_Duz Cam_344x1191x4,,2.0,,10.11.2025,,,22-26 Aralık 2025,
144521,CAM,MKAPAKCAMI_DC_Duz Cam_344x902x4,,4.0,,10.11.2025,,,22-26 Aralık 2025,
144525,CAM,MKAPAKCAMI_DC_Duz Cam_770x220x4,,2.0,,10.11.2025,,,15-19 Aralık 2025,
144525,CAM,MHCAMRAF855257,,4.0,,10.11.2025,,,15-19 Aralık 2025,
144525,CAM,MKAPAKCAMI_DC_Duz Cam_170x1123x4,,8.0,,10.11.2025,,,15-19 Aralık 2025,
144672,CAM,MHCAMRAF555277_IM,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],4.0,,14.11.2025,,,1-5 Aralık 2025,
144665,CAM,MHCAMRAF405277_MP,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],6.0,,14.11.2025,,,1-5 Aralık 2025,
144665,CAM,MHCAMRAF555277_IM,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],4.0,,14.11.2025,,,1-5 Aralık 2025,
144666,CAM,MHCAMRAF405277_MP,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],6.0,,14.11.2025,,,1-5 Aralık 2025,
144666,CAM,MHCAMRAF555277_IM,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],4.0,,14.11.2025,,,1-5 Aralık 2025,
144667,CAM,MHCAMRAF405277_MP,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],6.0,,14.11.2025,,,1-5 Aralık 2025,
144667,CAM,MHCAMRAF555277_IM,4 Knr Duz Rodajli Temp Cam Raf 6X555X277 [AKSESUAR],4.0,,14.11.2025,,,1-5 Aralık 2025,
144535,CAM,MHCAMRAF555487_IM,4 Knr Duz Rodajli Temp Cam Raf 6X555X487 [AKSESUAR],1.0,,14.11.2025,,,1-5 Aralık 2025,
144753,CAM,MHCAMRAF405277_MP,4 Knr Duz Rodajli Temp Cam Raf 6X405X277 [AKSESUAR],3.0,,14.11.2025,,,22-26 Aralık 2025,
144061,CAMLICA_DIZAYN,MMAYKCRC90-CERCEVE,MASA AYAGI CERCEVE MAT SİYAH H90 CM,1.0,,22.10.2025,,,10-14 Kasım 2025,
143937,CAMLICA_DIZAYN,MMAYKCRC70-CERCEVE,MASA AYAGI CERCEVE MAT SİYAH H70 CM,2.0,,05.11.2025,,,24-28 Kasım 2025,
144535,CILAHANE,MRTSBYMLM028,Rotus Boyasi Mat Lake M028 Haki,1.0,,14.11.2025,,,1-5 Aralık 2025,
144535,CILAHANE,MRTSBYMLM004,Rotus Boyasi Mat Lake B004 Vizon,1.0,,14.11.2025,,,1-5 Aralık 2025,
144519,DAMIANO LATINI,MTARDM60S,TRAY SET 2 ( SIYAH ),1.0,,10.11.2025,,,8-12 Aralık 2025,
144520,DAMIANO LATINI,MTARDM90AK,TRAY SET 1 ( KAYIN ),1.0,,10.11.2025,,,22-26 Aralık 2025,
144254,DEKOTEM,7938_224_GL_MP,AKSLI KULP 23 PARLAK PIRINC 224 MM,2.0,,05.11.2025,,,,15-19 Aralık 2025
144254,DEKOTEM,7938_224_NB_MP,AKSLI KULP 23 PASLANMAZ CELIK 224 MM,2.0,,05.11.2025,,,,15-19 Aralık 2025
144525,DEKOTEM,1915-AL6,DUGME KULP 23 MAT SIYAH R:32 MM,8.0,,10.11.2025,,,15-19 Aralık 2025,
144518,DEKOTEM,1915-AL6,DUGME KULP 23 MAT SIYAH R:32 MM,1.0,,10.11.2025,,,24-28 Kasım 2025,
144522,DEKOTEM,S-8057,SURGULU CAMASIR SEPETI S-8057 SIYAH,1.0,,10.11.2025,,,24-28 Kasım 2025,
